CODIGO;MTRA01;MTRA03;MTRA04;MTRA06;MTRA07;MTRA081;MTRA082;MTRA083;MTRA084;MTRA085;MTRA086;MTRA087;MTRA09;MTRA091;MTRA10;MTRA101;MTRA102;MTRA111;MTRA112;MTRA113;MTRA114;MTRA12;MTRA16;MTRA161;MTRA17;MTRA181;MTRA182;MTRA183;MTRA184;MTRA185;MTRA186;MTRA187;MTRA188;MTRA19;MTRA1911;MTRA192;MTRA1912;MTRA193;MTRA1913;MTRA1914;MTRA1915;MTRA201;MTRA202;MTRA203;MTRA204;MTRA205;MTRA206;MTRA207;MTRA208;MTRA209;MTRA2010;MTRA21;MTRA221;MTRA222;MTRA223;MTRA224;MTRA23;MTRA231;MTRA24;MTRA25
1100114;Setor subordinado a outra secretaria;Masculino;46;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;0;;0;;1;0;0;1;0;0;0;0;0;0;0;0;;Parcialmente adaptada;0;0;1;0;1;0;0;0
1100122;Orgao da administracao indireta;Masculino;48;Ensino superior completo;0;;;;;;;;1;0;0;;;;;;;;0;;;0;0;1;1;0;1;1;;1;1;1;0;;0;0;0;1;0;0;0;1;1;0;1;0;;Sem adaptacao;;;;;1;0;0;0
1100130;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;1;1;0;;0;0;0;1;0;0;0;0;0;0;0;0;;Sem adaptacao;;;;;1;1;0;0
1100148;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100155;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1100189;Setor subordinado a outra secretaria;Feminino;32;Especializacao;1;1;1;0;1;1;1;0;1;0;1;2016;Paritário;1;1;0;1;1;1;0;0;0;0;1;1;0;1;0;;1;1;1;0;;0;0;0;1;1;1;0;0;0;0;0;0;;Parcialmente adaptada;0;1;0;0;1;1;0;0
1100205;Secretaria exclusiva;Masculino;47;Ensino superior completo;0;;;;;;;;0;;1;1985;Tem maior representação governamental;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;;1;0;;0;;1;0;0;1;0;0;0;1;0;0;1;0;;Parcialmente adaptada;0;0;1;0;1;0;1;0
1100254;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100262;Setor subordinado a outra secretaria;Masculino;46;Ensino fundamental incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;0;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100288;Setor subordinado a outra secretaria;Masculino;25;Ensino superior completo;0;;;;;;;;0;;1;2011;Paritário;1;1;1;1;5;0;;;0;0;1;1;0;1;0;;1;1;1;0;;0;0;0;1;0;0;0;0;1;0;1;0;;Parcialmente adaptada;1;0;0;0;1;1;0;0
1100296;Setor subordinado a outra secretaria;Feminino;40;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100304;Secretaria exclusiva;Masculino;29;Mestrado;1;1;1;1;1;1;1;0;1;1;1;2005;Paritário;1;1;1;1;3;1;1;0;0;0;1;1;0;1;0;;1;1;1;0;;0;0;0;1;0;0;0;0;0;0;0;0;;Parcialmente adaptada;0;0;1;0;1;0;1;0
1100320;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1100338;Secretaria exclusiva;Masculino;42;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;1;0;0;;0;0;0;1;0;0;0;0;0;0;0;0;;Sem adaptacao;;;;;0;;0;0
1100346;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100379;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100403;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;0;1;1;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1100452;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100502;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100601;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100700;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1100809;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;0;;1;1;0;0;1;1;0;0;0;1;0;0;0;0;;Sem adaptacao;;;;;1;1;0;0
1100908;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;0;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100924;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1100940;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101005;Setor subordinado diretamente a chefia do Executivo;Masculino;37;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1101104;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1101203;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;0;1;0;0;0;;1;0;;0;;0;0;1;1;0;0;0;0;0;0;0;0;;Parcialmente adaptada;;;;1;1;0;0;0
1101302;Setor subordinado a outra secretaria;Masculino;56;Ensino fundamental incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101401;Setor subordinado a outra secretaria;Feminino;25;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1101435;Setor subordinado a outra secretaria;Masculino;31;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101450;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1101468;Setor subordinado a outra secretaria;Masculino;44;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101476;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1101484;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1101492;Setor subordinado a outra secretaria;Masculino;45;Ensino medio incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101500;Setor subordinado a outra secretaria;Masculino;52;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101559;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101609;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101708;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1101757;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1101807;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200013;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200054;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200104;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200138;Secretaria em conjunto com outras politicas setoriais;Masculino;56;Ensino fundamental incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
1200179;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1200203;Secretaria exclusiva;Masculino;60;Ensino medio incompleto;1;1;1;1;1;1;1;0;0;;1;2017;Paritário;1;1;1;1;0;0;;;1;0;1;1;0;0;1;;1;0;;1;0;0;0;0;1;1;1;0;1;1;1;1;0;;Sem adaptacao;;;;;1;0;1;1
1200252;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1200302;Setor subordinado a outra secretaria;Masculino;40;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;1;1;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200328;Setor subordinado a outra secretaria;Masculino;50;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200336;Secretaria exclusiva;Masculino;40;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1200344;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200351;Setor subordinado a outra secretaria;Feminino;48;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200385;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1200393;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200401;Secretaria em conjunto com outras politicas setoriais;Masculino;33;Ensino superior completo;1;1;1;1;1;1;0;0;1;0;1;1986;Tem maior representação da sociedade civil;0;1;0;0;4;1;0;0;0;0;1;1;0;1;0;;1;1;1;0;;0;0;0;1;0;0;0;1;0;0;1;0;;Totalmente adaptada;0;1;0;0;1;0;1;1
1200427;Secretaria em conjunto com outras politicas setoriais;Masculino;44;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200435;Secretaria em conjunto com outras politicas setoriais;Masculino;45;Ensino fundamental incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1200450;Setor subordinado a outra secretaria;Masculino;26;Ensino superior incompleto;1;1;1;0;1;0;0;0;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;0;;0;;1;0;0;1;1;1;1;1;1;0;1;0;;Parcialmente adaptada;0;1;1;0;1;1;1;0
1200500;Secretaria em conjunto com outras politicas setoriais;Masculino;70;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;0;1;0;1;0;;1;0;;0;;1;1;0;0;1;0;0;0;0;0;0;0;;Parcialmente adaptada;0;1;0;0;0;;0;0
1200609;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;1;1;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
1200708;Setor subordinado diretamente a chefia do Executivo;Masculino;25;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1200807;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1300029;Secretaria em conjunto com outras politicas setoriais;Masculino;52;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300060;Setor subordinado a outra secretaria;Masculino;70;Especializacao;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300086;Setor subordinado diretamente a chefia do Executivo;Masculino;48;Especializacao;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300102;Setor subordinado diretamente a chefia do Executivo;Masculino;52;Ensino fundamental completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300144;Secretaria em conjunto com outras politicas setoriais;Masculino;26;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;1;;1;0;;1;0;0;0;0;;;;;;;;;;1;Sem adaptacao;;;;;1;1;0;0
1300201;Secretaria exclusiva;Masculino;47;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300300;Secretaria em conjunto com outras politicas setoriais;Masculino;32;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300409;Secretaria exclusiva;Masculino;38;Ensino medio completo;1;1;1;0;0;0;0;0;0;;0;;;;;;;;1;0;0;1;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300508;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300607;Secretaria exclusiva;Feminino;43;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300631;Setor subordinado a outra secretaria;Masculino;42;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1300680;Setor subordinado a outra secretaria;Masculino;40;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;1;0;;0;;1;0;0;1;0;0;0;0;0;0;1;0;;Sem adaptacao;;;;;0;;0;0
1300706;Secretaria em conjunto com outras politicas setoriais;Masculino;43;Ensino fundamental incompleto;1;0;1;0;0;0;0;0;0;;0;;;;;;;;0;;;0;0;0;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1300805;Setor subordinado a outra secretaria;Masculino;53;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;1;0
1300839;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1300904;Setor subordinado a outra secretaria;Masculino;43;Ensino medio incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301001;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301100;Setor subordinado a outra secretaria;Masculino;42;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;1;0;;1;0;0;0;0;1;0;0;0;0;1;0;0;0;;Sem adaptacao;;;;;1;1;0;0
1301159;Setor subordinado a outra secretaria;Masculino;52;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301209;Setor subordinado a outra secretaria;Masculino;48;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301308;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301407;Setor subordinado a outra secretaria;Masculino;31;Especializacao;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301506;Setor subordinado a outra secretaria;Masculino;59;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301605;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301654;Secretaria em conjunto com outras politicas setoriais;Masculino;29;Ensino superior incompleto;1;1;0;1;0;0;0;0;0;;0;;;;;;;;0;;;0;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1301704;Secretaria em conjunto com outras politicas setoriais;Masculino;65;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1301803;Secretaria exclusiva;Masculino;64;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1301852;Secretaria exclusiva;Masculino;29;Especializacao;1;0;0;1;1;1;0;1;0;;1;2009;Paritário;1;1;0;0;4;0;;;1;0;1;1;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;1;0
1301902;Orgao da administracao indireta;Masculino;53;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1301951;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1302009;Secretaria em conjunto com outras politicas setoriais;Masculino;54;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1302108;Setor subordinado a outra secretaria;Masculino;55;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1302207;Secretaria exclusiva;Masculino;28;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;1;0;0;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1302306;Setor subordinado a outra secretaria;Masculino;49;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1302405;Secretaria em conjunto com outras politicas setoriais;Masculino;50;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1302504;Setor subordinado a outra secretaria;Masculino;43;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;;Parcialmente adaptada;1;0;0;0;1;1;1;0
1302553;Setor subordinado a outra secretaria;Feminino;42;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;0;;1;0;;0;;0;0;1;;;;;;;;;;1;Sem adaptacao;;;;;1;1;0;0
1302603;Orgao da administracao indireta;Masculino;62;Ensino superior completo;1;1;1;1;1;1;1;0;1;0, as conferências foram realizadas após a elaboração do plano;1;2002;Paritário;1;1;1;0;2;0;;;0;0;1;1;0;0;1;;1;1;1;0;;1;0;1;1;1;0;1;1;1;0;1;0;;Parcialmente adaptada;0;1;1;0;1;0;1;0
1302702;Setor subordinado a outra secretaria;Masculino;42;Ensino superior completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1302801;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1302900;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1303007;Secretaria exclusiva;Masculino;45;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1303106;Secretaria em conjunto com outras politicas setoriais;Masculino;41;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;1;0;;0;;0;0;1;;;;;;;;;;1;Sem adaptacao;;;;;0;;0;0
1303205;Secretaria em conjunto com outras politicas setoriais;Masculino;68;Ensino medio incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1303304;Setor subordinado a outra secretaria;Masculino;31;Ensino superior incompleto;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;1;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0
1303403;Orgao da administracao indireta;Masculino;58;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1303502;Setor subordinado a outra secretaria;Masculino;39;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1303536;Setor subordinado a outra secretaria;Masculino;34;Ensino superior incompleto;0;;;;;;;;1;O município 0 possui plano;0;;;;;;;;0;;;;;;;;;;1;1;1;1;0;;0;0;0;0;1;0;0;0;0;0;0;0;;Parcialmente adaptada;0;0;1;0;1;1;0;0
1303569;Secretaria em conjunto com outras politicas setoriais;Masculino;72;Ensino superior completo;1;1;1;1;1;1;1;0;0;;0;;;;;;;;0;;;1;0;1;0;0;1;0;;1;0;;1;0;0;0;0;1;0;0;1;1;1;0;0;0;;Sem adaptacao;;;;;1;1;0;0
